feature,coef
num__Na,3.1749652684594824e-05
num__Mg,0.0010394999475695978
num__Al,-0.0007494173277334949
num__Si,-0.0009319408211509862
num__K,9.35329301898242e-05
num__Ca,0.002675716839149479
num__Ba,0.0006902870122686282
num__Fe,1.5000573335772555e-05
cat__Type_BW-FP,-0.0002326391746433149
cat__Type_BW-NFP,-0.0001751580864348106
cat__Type_VW-FP,-0.0011356709103481398
cat__Type_containers,0.00010970811599663791
cat__Type_headlamps,0.0013149060528394978
cat__Type_tableware,0.00011885400259034413
